Time(s),Input(v),Output(v),Output(m),
131.7,5,10,3277.7,37.32
131.8,5,10,3281.431,37.31
131.9,5,10,3285.163,37.32
132,5,10,3288.894,37.31
132.1,5,10,3292.626,37.32
132.2,5,10,3296.357,37.31
132.3,5,10,3300.089,37.32
132.4,5,10,3303.821,37.32
132.5,5,10,3307.552,37.31
132.6,5,10,3311.284,37.32
132.7,5,10,3315.016,37.32
132.8,5,10,3318.747,37.31
132.9,5,10,3322.479,37.32
133,5,10,3326.211,37.32
133.1,5,10,3329.942,37.31
133.2,5,10,3333.674,37.32
133.3,5,10,3337.406,37.32
133.4,5,10,3341.138,37.32
133.5,5,10,3344.87,37.32
133.6,5,10,3348.602,37.32
133.7,5,10,3352.333,37.31
133.8,5,10,3356.065,37.32
133.9,5,10,3359.797,37.32
134,5,10,3363.529,37.32
134.1,5,10,3367.261,37.32
134.2,5,10,3370.993,37.32
134.3,5,10,3374.725,37.32
134.4,5,10,3378.457,37.32
134.5,5,10,3382.189,37.32
134.6,5,10,3385.921,37.32
134.7,5,10,3389.654,37.33
134.8,5,10,3393.386,37.32
134.9,5,10,3397.118,37.32
135,5,10,3400.85,37.32
135.1,5,10,3404.582,37.32
135.2,5,10,3408.314,37.32
135.3,5,10,3412.047,37.33
135.4,5,10,3415.779,37.32
135.5,5,10,3419.511,37.32
135.6,5,10,3423.243,37.32
135.7,5,10,3426.976,37.33
135.8,5,10,3430.708,37.32
135.9,5,10,3434.44,37.32
136,5,10,3438.173,37.33
136.1,5,10,3441.905,37.32
136.2,5,10,3445.637,37.32
136.3,5,10,3449.37,37.33
136.4,5,10,3453.102,37.32
136.5,5,10,3456.835,37.33
136.6,5,10,3460.567,37.32
136.7,5,10,3464.299,37.32
136.8,5,10,3468.032,37.33
136.9,5,10,3471.764,37.32
137,5,10,3475.497,37.33
137.1,5,10,3479.229,37.32
137.2,5,10,3482.962,37.33
137.3,5,10,3486.695,37.33
137.4,5,10,3490.427,37.32
137.5,5,10,3494.16,37.33
137.6,5,10,3497.892,37.32
137.7,5,10,3501.625,37.33
137.8,5,10,3505.358,37.33
137.9,5,10,3509.09,37.32
138,5,10,3512.823,37.33
138.1,5,10,3516.556,37.33
138.2,5,10,3520.288,37.32
138.3,5,10,3524.021,37.33
138.4,5,10,3527.754,37.33
138.5,5,10,3531.487,37.33
138.6,5,10,3535.219,37.32
138.7,5,10,3538.952,37.33
138.8,5,10,3542.685,37.33
138.9,5,10,3546.418,37.33
139,5,10,3550.151,37.33
139.1,5,10,3553.884,37.33
139.2,5,10,3557.616,37.32
139.3,5,10,3561.349,37.33
139.4,5,10,3565.082,37.33
139.5,5,10,3568.815,37.33
139.6,5,10,3572.548,37.33
139.7,5,10,3576.281,37.33
139.8,5,10,3580.014,37.33
139.9,5,10,3583.747,37.33
140,5,10,3587.48,37.33
140.1,5,10,3591.213,37.33
140.2,5,10,3594.946,37.33
140.3,5,10,3598.679,37.33
140.4,5,10,3602.412,37.33
140.5,5,10,3606.145,37.33
140.6,5,10,3609.878,37.33
140.7,5,10,3613.611,37.33
140.8,5,10,3617.344,37.33
140.9,5,10,3621.077,37.33
141,5,10,3624.81,37.33
141.1,5,10,3628.543,37.33
141.2,5,10,3632.277,37.34
141.3,5,10,3636.01,37.33
141.4,5,10,3639.743,37.33
141.5,5,10,3643.476,37.33
141.6,5,10,3647.209,37.33
141.7,5,10,3650.942,37.33
141.8,5,10,3654.676,37.34
141.9,5,10,3658.409,37.33
142,5,10,3662.142,37.33
142.1,5,10,3665.875,37.33
142.2,5,10,3669.609,37.34
142.3,5,10,3673.342,37.33
142.4,5,10,3677.075,37.33
142.5,5,10,3680.808,37.33
142.6,5,10,3684.542,37.34
142.7,5,10,3688.275,37.33
142.8,5,10,3692.008,37.33
142.9,5,10,3695.742,37.34
143,5,10,3699.475,37.33
143.1,5,10,3703.208,37.33
143.2,5,10,3706.942,37.34
143.3,5,10,3710.675,37.33
143.4,5,10,3714.409,37.34
143.5,5,10,3718.142,37.33
143.6,5,10,3721.875,37.33
143.7,5,10,3725.609,37.34
143.8,5,10,3729.342,37.33
143.9,5,10,3733.076,37.34
144,5,10,3736.809,37.33
144.1,5,10,3740.543,37.34
144.2,5,10,3744.276,37.33
144.3,5,10,3748.01,37.34
144.4,5,10,3751.743,37.33
144.5,5,10,3755.477,37.34
144.6,5,10,3759.21,37.33
144.7,5,10,3762.944,37.34
144.8,5,10,3766.677,37.33
144.9,5,10,3770.411,37.34
145,5,10,3774.144,37.33
145.1,5,10,3777.878,37.34
145.2,5,10,3781.611,37.33
145.3,5,10,3785.345,37.34
145.4,5,10,3789.079,37.34
145.5,5,10,3792.812,37.33
145.6,5,10,3796.546,37.34
145.7,5,10,3800.279,37.33
145.8,5,10,3804.013,37.34
145.9,5,10,3807.747,37.34
146,5,10,3811.48,37.33
146.1,5,10,3815.214,37.34
146.2,5,10,3818.948,37.34
146.3,5,10,3822.681,37.33
146.4,5,10,3826.415,37.34
146.5,5,10,3830.149,37.34
146.6,5,10,3833.882,37.33
146.7,5,10,3837.616,37.34
146.8,5,10,3841.35,37.34
146.9,5,10,3845.084,37.34
147,5,10,3848.817,37.33
147.1,5,10,3852.551,37.34
147.2,5,10,3856.285,37.34
147.3,5,10,3860.019,37.34
147.4,5,10,3863.752,37.33
147.5,5,10,3867.486,37.34
147.6,5,10,3871.22,37.34
147.7,5,10,3874.954,37.34
147.8,5,10,3878.688,37.34
147.9,5,10,3882.421,37.33
148,5,10,3886.155,37.34
148.1,5,10,3889.889,37.34
148.2,5,10,3893.623,37.34
148.3,5,10,3897.357,37.34
148.4,5,10,3901.091,37.34
148.5,5,10,3904.824,37.33
148.6,5,10,3908.558,37.34
148.7,5,10,3912.292,37.34
148.8,5,10,3916.026,37.34
148.9,5,10,3919.76,37.34
149,5,10,3923.494,37.34
149.1,5,10,3927.228,37.34
149.2,5,10,3930.962,37.34
149.3,5,10,3934.696,37.34
149.4,5,10,3938.43,37.34
149.5,5,10,3942.163,37.33
149.6,5,10,3945.897,37.34
149.7,5,10,3949.631,37.34
149.8,5,10,3953.365,37.34
149.9,5,10,3957.099,37.34
150,5,10,3960.833,37.34
150.1,5,10,3964.567,37.34
150.2,5,10,3968.301,37.34
150.3,5,10,3972.035,37.34
150.4,5,10,3975.769,37.34
150.5,5,10,3979.503,37.34
150.6,5,10,3983.237,37.34
150.7,5,10,3986.971,37.34
150.8,5,10,3990.705,37.34
150.9,5,10,3994.439,37.34
151,5,10,3998.173,37.34
151.1,5,10,4001.907,37.34
151.2,5,10,4005.642,37.35
151.3,5,10,4009.376,37.34
151.4,5,10,4013.11,37.34
151.5,5,10,4016.844,37.34
151.6,5,10,4020.578,37.34
151.7,5,10,4024.312,37.34
151.8,5,10,4028.046,37.34
151.9,5,10,4031.78,37.34
152,5,10,4035.514,37.34
152.1,5,10,4039.248,37.34
152.2,5,10,4042.982,37.34
152.3,5,10,4046.717,37.35
152.4,5,10,4050.451,37.34
152.5,5,10,4054.185,37.34
152.6,5,10,4057.919,37.34
152.7,5,10,4061.653,37.34
152.8,5,10,4065.387,37.34
152.9,5,10,4069.121,37.34
153,5,10,4072.856,37.35
153.1,5,10,4076.59,37.34
153.2,5,10,4080.324,37.34
153.3,5,10,4084.058,37.34
153.4,5,10,4087.792,37.34
153.5,5,10,4091.526,37.34
153.6,5,10,4095.261,37.35
153.7,5,10,4098.995,37.34
153.8,5,10,4102.729,37.34
153.9,5,10,4106.463,37.34
154,5,10,4110.197,37.34
154.1,5,10,4113.932,37.35
154.2,5,10,4117.666,37.34
154.3,5,10,4121.4,37.34
154.4,5,10,4125.134,37.34
154.5,5,10,4128.869,37.35
154.6,5,10,4132.603,37.34
154.7,5,10,4136.337,37.34
154.8,5,10,4140.071,37.34
154.9,5,10,4143.806,37.35
155,5,10,4147.54,37.34
155.1,5,10,4151.274,37.34
155.2,5,10,4155.008,37.34
155.3,5,10,4158.743,37.35
155.4,5,10,4162.477,37.34
155.5,5,10,4166.211,37.34
155.6,5,10,4169.946,37.35
155.7,5,10,4173.68,37.34
155.8,5,10,4177.414,37.34
155.9,5,10,4181.149,37.35
156,5,10,4184.883,37.34
156.1,5,10,4188.617,37.34
156.2,5,10,4192.352,37.35
156.3,5,10,4196.086,37.34
156.4,5,10,4199.82,37.34
156.5,5,10,4203.555,37.35
156.6,5,10,4207.289,37.34
156.7,5,10,4211.023,37.34
156.8,5,10,4214.758,37.35
156.9,5,10,4218.492,37.34
157,5,10,4222.226,37.34
157.1,5,10,4225.961,37.35
157.2,5,10,4229.695,37.34
157.3,5,10,4233.429,37.34
157.4,5,10,4237.164,37.35
157.5,5,10,4240.898,37.34
157.6,5,10,4244.633,37.35
157.7,5,10,4248.367,37.34
157.8,5,10,4252.101,37.34
157.9,5,10,4255.836,37.35
158,5,10,4259.57,37.34
158.1,5,10,4263.305,37.35
158.2,5,10,4267.039,37.34
158.3,5,10,4270.773,37.34
158.4,5,10,4274.508,37.35
158.5,5,10,4278.242,37.34
158.6,5,10,4281.977,37.35
158.7,5,10,4285.711,37.34
158.8,5,10,4289.446,37.35
158.9,5,10,4293.18,37.34
159,5,10,4296.914,37.34
159.1,5,10,4300.649,37.35
159.2,5,10,4304.383,37.34
159.3,5,10,4308.118,37.35
159.4,5,10,4311.852,37.34
159.5,5,10,4315.587,37.35
159.6,5,10,4319.321,37.34
159.7,5,10,4323.056,37.35
159.8,5,10,4326.79,37.34
159.9,5,10,4330.525,37.35
160,5,10,4334.259,37.34
160.1,5,10,4337.994,37.35
160.2,5,10,4341.728,37.34
160.3,5,10,4345.462,37.34
160.4,5,10,4349.197,37.35
160.5,5,10,4352.931,37.34
160.6,5,10,4356.666,37.35
160.7,5,10,4360.4,37.34
160.8,5,10,4364.135,37.35
160.9,5,10,4367.869,37.34
161,5,10,4371.604,37.35
161.1,5,10,4375.339,37.35
161.2,5,10,4379.073,37.34
161.3,5,10,4382.808,37.35
161.4,5,10,4386.542,37.34
161.5,5,10,4390.277,37.35
161.6,5,10,4394.011,37.34
161.7,5,10,4397.746,37.35
161.8,5,10,4401.48,37.34
161.9,5,10,4405.215,37.35
162,5,10,4408.949,37.34
162.1,5,10,4412.684,37.35
162.2,5,10,4416.418,37.34
162.3,5,10,4420.153,37.35
162.4,5,10,4423.888,37.35
162.5,5,10,4427.622,37.34
162.6,5,10,4431.357,37.35
162.7,5,10,4435.091,37.34
162.8,5,10,4438.826,37.35
162.9,5,10,4442.56,37.34
163,5,10,4446.295,37.35
163.1,5,10,4450.03,37.35
163.2,5,10,4453.764,37.34
163.3,5,10,4457.499,37.35
163.4,5,10,4461.233,37.34
163.5,5,10,4464.968,37.35
163.6,5,10,4468.702,37.34
163.7,5,10,4472.437,37.35
163.8,5,10,4476.172,37.35
163.9,5,10,4479.906,37.34
164,5,10,4483.641,37.35
164.1,5,10,4487.375,37.34
164.2,5,10,4491.11,37.35
164.3,5,10,4494.845,37.35
164.4,5,10,4498.579,37.34
164.5,5,10,4502.314,37.35
164.6,5,10,4506.049,37.35
164.7,5,10,4509.783,37.34
164.8,5,10,4513.518,37.35
164.9,5,10,4517.252,37.34
165,5,10,4520.987,37.35
165.1,5,10,4524.722,37.35
165.2,5,10,4528.456,37.34
165.3,5,10,4532.191,37.35
165.4,5,10,4535.926,37.35
165.5,5,10,4539.66,37.34
165.6,5,10,4543.395,37.35
165.7,5,10,4547.13,37.35
165.8,5,10,4550.864,37.34
165.9,5,10,4554.599,37.35
166,5,10,4558.333,37.34
166.1,5,10,4562.068,37.35
166.2,5,10,4565.803,37.35
166.3,5,10,4569.537,37.34
166.4,5,10,4573.272,37.35
166.5,5,10,4577.007,37.35
166.6,5,10,4580.741,37.34
166.7,5,10,4584.476,37.35
166.8,5,10,4588.211,37.35
166.9,5,10,4591.945,37.34
167,5,10,4595.68,37.35
167.1,5,10,4599.415,37.35
167.2,5,10,4603.149,37.34
167.3,5,10,4606.884,37.35
167.4,5,10,4610.619,37.35
167.5,5,10,4614.354,37.35
167.6,5,10,4618.088,37.34
167.7,5,10,4621.823,37.35
167.8,5,10,4625.558,37.35
167.9,5,10,4629.292,37.34
168,5,10,4633.027,37.35
168.1,5,10,4636.762,37.35
168.2,5,10,4640.496,37.34
168.3,5,10,4644.231,37.35
168.4,5,10,4647.966,37.35
168.5,5,10,4651.701,37.35
168.6,5,10,4655.435,37.34
168.7,5,10,4659.17,37.35
168.8,5,10,4662.905,37.35
168.9,5,10,4666.639,37.34
169,5,10,4670.374,37.35
169.1,5,10,4674.109,37.35
169.2,5,10,4677.844,37.35
169.3,5,10,4681.578,37.34
169.4,5,10,4685.313,37.35
169.5,5,10,4689.048,37.35
169.6,5,10,4692.782,37.34
169.7,5,10,4696.517,37.35
169.8,5,10,4700.252,37.35
169.9,5,10,4703.987,37.35
170,5,10,4707.721,37.34
170.1,5,10,4711.456,37.35
170.2,5,10,4715.191,37.35
170.3,5,10,4718.926,37.35
170.4,5,10,4722.66,37.34
170.5,5,10,4726.395,37.35
170.6,5,10,4730.13,37.35
170.7,5,10,4733.865,37.35
170.8,5,10,4737.599,37.34
170.9,5,10,4741.334,37.35
171,5,10,4745.069,37.35
171.1,5,10,4748.804,37.35
171.2,5,10,4752.538,37.34
171.3,5,10,4756.273,37.35
171.4,5,10,4760.008,37.35
171.5,5,10,4763.743,37.35
171.6,5,10,4767.477,37.34
171.7,5,10,4771.212,37.35
171.8,5,10,4774.947,37.35
171.9,5,10,4778.682,37.35
172,5,10,4782.416,37.34
172.1,5,10,4786.151,37.35
172.2,5,10,4789.886,37.35
172.3,5,10,4793.621,37.35
172.4,5,10,4797.356,37.35
172.5,5,10,4801.09,37.34
172.6,5,10,4804.825,37.35
172.7,5,10,4808.56,37.35
172.8,5,10,4812.295,37.35
172.9,5,10,4816.029,37.34
173,5,10,4819.764,37.35
173.1,5,10,4823.499,37.35
173.2,5,10,4827.234,37.35
173.3,5,10,4830.969,37.35
173.4,5,10,4834.703,37.34
173.5,5,10,4838.438,37.35
173.6,5,10,4842.173,37.35
173.7,5,10,4845.908,37.35
173.8,5,10,4849.643,37.35
173.9,5,10,4853.377,37.34
174,5,10,4857.112,37.35
174.1,5,10,4860.847,37.35
174.2,5,10,4864.582,37.35
174.3,5,10,4868.317,37.35
174.4,5,10,4872.051,37.34
174.5,5,10,4875.786,37.35
174.6,5,10,4879.521,37.35
174.7,5,10,4883.256,37.35
174.8,5,10,4886.991,37.35
174.9,5,10,4890.725,37.34
175,5,10,4894.46,37.35
175.1,5,10,4898.195,37.35
175.2,5,10,4901.93,37.35
175.3,5,10,4905.665,37.35
175.4,5,10,4909.399,37.34
175.5,5,10,4913.134,37.35
175.6,5,10,4916.869,37.35
175.7,5,10,4920.604,37.35
175.8,5,10,4924.339,37.35
175.9,5,10,4928.074,37.35
176,5,10,4931.808,37.34
176.1,5,10,4935.543,37.35
176.2,5,10,4939.278,37.35
176.3,5,10,4943.013,37.35
176.4,5,10,4946.748,37.35
176.5,5,10,4950.483,37.35
176.6,5,10,4954.217,37.34
176.7,5,10,4957.952,37.35
176.8,5,10,4961.687,37.35
176.9,5,10,4965.422,37.35
177,5,10,4969.157,37.35
177.1,5,10,4972.892,37.35
177.2,5,10,4976.626,37.34
177.3,5,10,4980.361,37.35
177.4,5,10,4984.096,37.35
177.5,5,10,4987.831,37.35
177.6,5,10,4991.566,37.35
177.7,5,10,4995.301,37.35
177.8,5,10,4999.035,37.34
177.9,5,10,5002.77,37.35
178,5,10,5006.505,37.35
178.1,5,10,5010.24,37.35
178.2,5,10,5013.975,37.35
178.3,5,10,5017.71,37.35
178.4,5,10,5021.445,37.35
178.5,5,10,5025.179,37.34
178.6,5,10,5028.914,37.35
178.7,5,10,5032.649,37.35
178.8,5,10,5036.384,37.35
178.9,5,10,5040.119,37.35
179,5,10,5043.854,37.35
179.1,5,10,5047.589,37.35
179.2,5,10,5051.323,37.34
179.3,5,10,5055.058,37.35
179.4,5,10,5058.793,37.35
179.5,5,10,5062.528,37.35
179.6,5,10,5066.263,37.35
179.7,5,10,5069.998,37.35
179.8,5,10,5073.733,37.35
179.9,5,10,5077.467,37.34
180,5,10,5081.202,37.35
180.1,5,10,5084.937,37.35
180.2,5,10,5088.672,37.35
180.3,5,10,5092.407,37.35
180.4,5,10,5096.142,37.35
180.5,5,10,5099.877,37.35
180.6,5,10,5103.611,37.34
180.7,5,10,5107.346,37.35
180.8,5,10,5111.081,37.35
180.9,5,10,5114.816,37.35
181,5,10,5118.551,37.35
181.1,5,10,5122.286,37.35
181.2,5,10,5126.021,37.35
181.3,5,10,5129.756,37.35
181.4,5,10,5133.49,37.34
181.5,5,10,5137.225,37.35
181.6,5,10,5140.96,37.35
181.7,5,10,5144.695,37.35
181.8,5,10,5148.43,37.35
181.9,5,10,5152.165,37.35
182,5,10,5155.9,37.35
182.1,5,10,5159.635,37.35
182.2,5,10,5163.37,37.35
182.3,5,10,5167.104,37.34
182.4,5,10,5170.839,37.35
182.5,5,10,5174.574,37.35
182.6,5,10,5178.309,37.35
182.7,5,10,5182.044,37.35
182.8,5,10,5185.779,37.35
182.9,5,10,5189.514,37.35
183,5,10,5193.249,37.35
183.1,5,10,5196.984,37.35
183.2,5,10,5200.718,37.34
183.3,5,10,5204.453,37.35
183.4,5,10,5208.188,37.35
183.5,5,10,5211.923,37.35
183.6,5,10,5215.658,37.35
183.7,5,10,5219.393,37.35
183.8,5,10,5223.128,37.35
183.9,5,10,5226.863,37.35
184,5,10,5230.598,37.35
184.1,5,10,5234.332,37.34
184.2,5,10,5238.067,37.35
184.3,5,10,5241.802,37.35
184.4,5,10,5245.537,37.35
184.5,5,10,5249.272,37.35
184.6,5,10,5253.007,37.35
184.7,5,10,5256.742,37.35
184.8,5,10,5260.477,37.35
184.9,5,10,5264.212,37.35
185,5,10,5267.947,37.35
185.1,5,10,5271.682,37.35
185.2,5,10,5275.416,37.34
185.3,5,10,5279.151,37.35
185.4,5,10,5282.886,37.35
185.5,5,10,5286.621,37.35
185.6,5,10,5290.356,37.35
185.7,5,10,5294.091,37.35
185.8,5,10,5297.826,37.35
185.9,5,10,5301.561,37.35
186,5,10,5305.296,37.35
186.1,5,10,5309.031,37.35
186.2,5,10,5312.766,37.35
186.3,5,10,5316.5,37.34
186.4,5,10,5320.235,37.35
186.5,5,10,5323.97,37.35
186.6,5,10,5327.705,37.35
186.7,5,10,5331.44,37.35
186.8,5,10,5335.175,37.35
186.9,5,10,5338.91,37.35
187,5,10,5342.645,37.35
187.1,5,10,5346.38,37.35
187.2,5,10,5350.115,37.35
187.3,5,10,5353.85,37.35
187.4,5,10,5357.585,37.35
187.5,5,10,5361.319,37.34
187.6,5,10,5365.054,37.35
187.7,5,10,5368.789,37.35
187.8,5,10,5372.524,37.35
187.9,5,10,5376.259,37.35
188,5,10,5379.994,37.35
188.1,5,10,5383.729,37.35
188.2,5,10,5387.464,37.35
188.3,5,10,5391.199,37.35
188.4,5,10,5394.934,37.35
188.5,5,10,5398.669,37.35
188.6,5,10,5402.404,37.35
188.7,5,10,5406.139,37.35
188.8,5,10,5409.873,37.34
188.9,5,10,5413.608,37.35
189,5,10,5417.343,37.35
189.1,5,10,5421.078,37.35
189.2,5,10,5424.813,37.35
189.3,5,10,5428.548,37.35
189.4,5,10,5432.283,37.35
189.5,5,10,5436.018,37.35
189.6,5,10,5439.753,37.35
189.7,5,10,5443.488,37.35
189.8,5,10,5447.223,37.35
189.9,5,10,5450.958,37.35
190,5,10,5454.693,37.35
190.1,5,10,5458.428,37.35
190.2,5,10,5462.162,37.34
190.3,5,10,5465.897,37.35
190.4,5,10,5469.632,37.35
190.5,5,10,5473.367,37.35
190.6,5,10,5477.102,37.35
190.7,5,10,5480.837,37.35
190.8,5,10,5484.572,37.35
190.9,5,10,5488.307,37.35
191,5,10,5492.042,37.35
191.1,5,10,5495.777,37.35
191.2,5,10,5499.512,37.35
191.3,5,10,5503.247,37.35
191.4,5,10,5506.982,37.35
191.5,5,10,5510.717,37.35
191.6,5,10,5514.452,37.35
191.7,5,10,5518.187,37.35
191.8,5,10,5521.921,37.34
191.9,5,10,5525.656,37.35
192,5,10,5529.391,37.35
192.1,5,10,5533.126,37.35
192.2,5,10,5536.861,37.35
192.3,5,10,5540.596,37.35
192.4,5,10,5544.331,37.35
192.5,5,10,5548.066,37.35
192.6,5,10,5551.801,37.35
192.7,5,10,5555.536,37.35
192.8,5,10,5559.271,37.35
192.9,5,10,5563.006,37.35
193,5,10,5566.741,37.35
193.1,5,10,5570.476,37.35
